short_name,region_code,station_id,long_name,label,lat,lon,station_type
Reggio Emilia,0,S05023,REGGIO EMILIA,Reggio Emilia,44.697793,10.643093,3
Rimini,0,S05071,RIMINI,Rimini,44.064176,12.574093,1
Roma Termini,0,S08409,ROMA TERMINI,Roma,41.900636,12.502026,1
Rovigo,0,S05706,ROVIGO,Rovigo,45.076993,11.780892,3
Salerno,0,S09818,SALERNO,Salerno,40.675137,14.772822,1
Sassari,0,S12807,SASSARI,Sassari,40.729506,8.554157,1
Savona,0,S04801,SAVONA,Savona,44.306892,8.470259,1
Caserta,0,S09211,CASERTA,Caserta,41.068655,14.328457,3
Catania Centrale,0,S12332,CATANIA CENTRALE,Catania,37.506211,15.099417,1
Reggio C. C.le,0,S11781,REGGIO CALABRIA CENTRALE,Reggio Calabria,38.103884,15.635844,1
Vibo Pizzo,0,S11789,VIBO VALENZIA PIZZO,Vibo Valentia,38.714593,16.139887,3
Alessandria,0,S00470,ALESSANDRIA,Alessandria,44.909091,8.606498,3
Genova P.Princ.,0,S04700,GENOVA P.PRINCIPE,Genova,44.417784,8.9207,1
La Spezia C.le,0,S06000,LA SPEZIA CENTRALE,La Spezia,44.11141,9.813906,3
Savona,0,S04801,SAVONA,Savona,44.306892,8.470259,1
Tortona,0,S01810,TORTONA,,44.900126,8.861777,3
Ventimiglia,0,S04501,VENTIMIGLIA,,43.792561,7.610224,2
Ancona,0,S07113,ANCONA,Ancona,43.607734,13.497665,1
Arezzo,0,S06915,AREZZO,Arezzo,43.461725,11.874189,3
Bologna Centrale,0,S05043,BOLOGNA C.LE,Bologna,44.50626,11.342267,1
Bolzano,0,S02026,BOLZANO ,Bolzano,46.496346,11.358556,1
BRENNERO,0,S02001,BRENNERO,,47.004117,11.505711,2
Brescia,0,S01717,BRESCIA,Brescia,45.532315,10.212828,3
Caserta,0,S09211,CASERTA,Caserta,41.068655,14.328457,3
Cosenza,0,S11910,COSENZA,Cosenza,39.318386,16.260955,3
Crotone,0,S11823,CROTONE,Crotone,39.0845,17.108418,1
Maratea,0,S11723,MARATEA,,39.995028,15.70975,3
Metaponto,0,S11461,METAPONTO,,40.368496,16.815176,2
Paola,0,S11739,PAOLA,,39.359442,16.033093,3
Brindisi,0,S11136,BRINDISI,Brindisi,40.634339,17.938978,1
Chieti,0,S07712,CHIETI,Chieti,42.356905,14.13815,3
Como S.Giovanni,0,S01307,COMO S. GIOVANNI,Como,45.808946,9.072331,3
Taranto,0,S11465,TARANTO,Taranto,40.483727,17.224059,1
Terni,0,S07226,TERNI,Terni,42.570768,12.651091,3
Ferrara,0,S05712,FERRARA,Ferrara,44.843047,11.603594,3
Foligno,0,S07217,FOLIGNO,,42.954261,12.711096,3
